Total Magnitude;family
41069;Trichomonascaceae
1538;Soleidae
1508;Dipodascaceae
1490;Unknown
1364;Batrachoididae
1311;Aspergillaceae
1105;Characidae
972;Aspergillaceae
920;Aspergillaceae
562;Apidae
395;Hominidae
373;Gekkonidae
359;Glyceridae
332;Lucanidae
325;Tenebrionidae
302;Scolopacidae
297;Microtrombidiidae
269;Mordellidae
259;Dolichopodidae
258;Acaridae
244;Pichiaceae
166;Mantellidae
136;Lepidoptera_Incertae_sedis
122;Ostreidae
111;Aspergillaceae
100;Timematidae
94;Flavobacteriaceae
91;Cudoniaceae
90;Aspergillaceae
85;Muridae
82;Aspergillaceae
78;Backusellaceae
72;Hemiscylliidae
72;Cercopithecidae
65;Formicidae
60;Agaricostilbaceae
57;Bacteria_none_none_none_none_none
55;Elephantidae
53;Phasianidae
50;Chironomidae
47;Pasiphaeidae
42;Nemacheilidae
38;Amphipoda_Incertae_sedis
38;Salamandridae
37;Tineidae
33;Curculionidae
31;Adrianichthyidae
30;Parmeliaceae
28;Dipodascaceae
28;Naididae
27;Scarabaeidae
27;Apidae
24;Megascolecidae
24;Gonyleptidae
23;Muridae
22;Dicrocoeliidae
21;Delphacidae
21;Stomiidae
18;Bacillaceae
18;Aeglidae
17;Colubridae
16;Thermoascaceae
16;Gastromyzontidae
15;Tenebrionidae
15;Aleyrodidae
15;Xyloryctidae
15;Sciuridae
14;Aspergillaceae
14;Gonyleptidae
14;Asilidae
14;Halictidae
14;Cryptochiridae
13;Cladosporiaceae
12;Debaryomycetaceae
12;Sacculinidae
12;Veneridae
11;Curculionidae
10;Lampyridae
10;Vespidae
10;Congridae
10;Megophryidae
1900;Anguillidae
3560;Ambassidae
3000;Cyprinidae
213;Cyprinidae
2500;Chanidae
2500;Serranidae
1300;Serranidae
2500;Serranidae
2500;Plesiopidae
1500;Apogonidae
2500;Apogonidae
2500;Apogonidae
1000;Caesionidae
2500;Leiognathidae
560;Leiognathidae
552;Lutjanidae
553;Lutjanidae
564;Lutjanidae
645;Gobiidae
4546;Gobiidae
545;Gobiidae
545;Gobiidae
3315;Gerreidae
655;Aelosomatida
235;Haplotaxida
20;Planariidae
355;Haplotaxida
8445;Euglenaceae
120;Plasmodiidae
500;Plasmodiidae
